dataset,model,include_sensitive,sensitive_attribute,accuracy,f1,dp_gap,dp_rates,train_time_sec
adult,tree,True,sex,0.8520361157177078,0.624590930341281,0.15405222783099487,"{'Female': 0.05515587529976019, 'Male': 0.20920810313075505}",0.31907105445861816
adult,tree,False,sex,0.8520361157177078,0.624590930341281,,{},0.272723913192749
adult,logreg,True,sex,0.8507462686567164,0.6501583645263461,0.1756613069085743,"{'Female': 0.0732337207157351, 'Male': 0.2488950276243094}",1.2059359550476074
adult,logreg,False,sex,0.8506848473680978,0.6488516539072656,,{},1.0105671882629395
adult,rulelist,True,sex,0.8447884036607088,0.606814999222032,0.144464182160434,"{'Female': 0.062165652093709646, 'Male': 0.20662983425414364}",0.3307688236236572
adult,rulelist,False,sex,0.8447884036607088,0.606814999222032,,{},0.3155369758605957
