baseline,model,sensitive_attribute,include_sensitive_model,n_samples,flip_count,flip_rate,runtime_sec,accuracy,f1,train_time_sec,test_size
random_pair_sampling,tree,Asal_Daerah,True,200,0,0.0,2.9226438999176025,0.855,0.7289719626168224,0.04777979850769043,400
random_pair_sampling,logreg,Asal_Daerah,True,200,2,0.01,2.5601820945739746,0.915,0.839622641509434,0.05547595024108887,400
random_pair_sampling,rulelist,Asal_Daerah,True,200,0,0.0,2.412668228149414,0.7875,0.6046511627906976,0.03213906288146973,400
