baseline,model,sensitive_attribute,include_sensitive_model,top_k,total_checks,flip_count,flip_rate,runtime_sec,accuracy,f1,train_time_sec,test_size
boundary_focused_sampling,tree,Asal_Daerah,True,100,200,0,0.0,3.706048011779785,0.855,0.7289719626168224,0.03955411911010742,400
boundary_focused_sampling,logreg,Asal_Daerah,True,100,200,4,0.02,4.0230560302734375,0.915,0.839622641509434,0.045020103454589844,400
boundary_focused_sampling,rulelist,Asal_Daerah,True,100,200,0,0.0,3.542788028717041,0.7875,0.6046511627906976,0.037904977798461914,400
