dataset,model,sensitive_attribute,accuracy_with_sensitive,accuracy_without_sensitive,delta_accuracy,f1_with_sensitive,f1_without_sensitive,delta_f1,dp_gap_with_sensitive
scholarship,Decision Tree,Asal_Daerah,0.855,0.855,0.0,0.7289719626168224,0.7289719626168224,0.0,0.1099102240041837
scholarship,Logistic Regression,Asal_Daerah,0.915,0.9175,0.0024999999999999467,0.839622641509434,0.8450704225352113,0.005447781025777254,0.05245699298002
adult,Decision Tree,sex,0.8520361157177078,0.8520361157177078,0.0,0.624590930341281,0.624590930341281,0.0,0.1540522278309948
adult,Logistic Regression,sex,0.8507462686567164,0.8506848473680978,-6.142128861863494e-05,0.6501583645263461,0.6488516539072656,-0.0013067106190804978,0.1756613069085743
adult,Rule List,sex,0.8447884036607088,0.8447884036607088,0.0,0.606814999222032,0.606814999222032,0.0,0.144464182160434
german_credit,Decision Tree,sex,0.6966666666666667,0.6966666666666667,0.0,0.7955056179775281,0.7955056179775281,0.0,0.0122549019607842
german_credit,Logistic Regression,sex,0.74,0.74,0.0,0.8211009174311927,0.8211009174311927,0.0,0.1121323529411764
german_credit,Rule List,sex,0.7133333333333334,0.7133333333333334,0.0,0.8193277310924371,0.8193277310924371,0.0,0.0594362745098039
