baseline,dataset,model,sensitive_attribute,include_sensitive_model,n_samples,flip_count,flip_rate,runtime_sec,accuracy,f1,train_time_sec,test_size
random_pair_sampling,german_credit,tree,sex,True,300,0,0.0,3.334989070892334,0.6966666666666667,0.7955056179775281,0.01892995834350586,300
random_pair_sampling,german_credit,logreg,sex,True,300,12,0.04,2.8302981853485107,0.74,0.8211009174311927,0.043905019760131836,300
random_pair_sampling,german_credit,rulelist,sex,True,300,0,0.0,2.739522933959961,0.7133333333333334,0.8193277310924371,0.01796579360961914,300
